"player","athlete_id_1","game_id","n_opportunities","n_opportunity_makes"
"Andrew Wiggins",3059319,400899369,0,0
"Andrew Wiggins",3059319,400899385,4,3
"Andrew Wiggins",3059319,400899386,1,0
"Andrew Wiggins",3059319,400899399,5,3
"Andrew Wiggins",3059319,400899421,0,0
"Andrew Wiggins",3059319,400899442,1,0
"Andrew Wiggins",3059319,400899484,4,2
"Andrew Wiggins",3059319,400899502,1,0
"Andrew Wiggins",3059319,400899517,2,1
"Andrew Wiggins",3059319,400899529,0,0
"Andrew Wiggins",3059319,400899551,0,0
"Andrew Wiggins",3059319,400899559,3,2
"Andrew Wiggins",3059319,400899585,0,0
"Andrew Wiggins",3059319,400899592,5,2
"Andrew Wiggins",3059319,400899605,1,0
"Andrew Wiggins",3059319,400899622,9,7
"Andrew Wiggins",3059319,400899640,0,0
"Andrew Wiggins",3059319,400899655,0,0
"Andrew Wiggins",3059319,400899672,0,0
"Andrew Wiggins",3059319,400899686,0,0
"Andrew Wiggins",3059319,400899694,0,0
"Andrew Wiggins",3059319,400899708,1,0
"Andrew Wiggins",3059319,400899721,0,0
"Andrew Wiggins",3059319,400899727,1,0
"Andrew Wiggins",3059319,400899734,1,0
"Andrew Wiggins",3059319,400899761,1,0
"Andrew Wiggins",3059319,400899773,3,2
"Andrew Wiggins",3059319,400899784,0,0
"Andrew Wiggins",3059319,400899800,1,0
"Andrew Wiggins",3059319,400899812,2,1
"Andrew Wiggins",3059319,400899845,0,0
"Andrew Wiggins",3059319,400899858,3,1
"Andrew Wiggins",3059319,400899872,3,1
"Andrew Wiggins",3059319,400899892,0,0
"Andrew Wiggins",3059319,400899901,0,0
"Andrew Wiggins",3059319,400899910,1,0
"Andrew Wiggins",3059319,400899925,4,3
"Andrew Wiggins",3059319,400899939,0,0
"Andrew Wiggins",3059319,400899965,2,1
"Andrew Wiggins",3059319,400899977,1,0
"Andrew Wiggins",3059319,400899991,0,0
"Andrew Wiggins",3059319,400900003,5,3
"Andrew Wiggins",3059319,400900017,0,0
"Andrew Wiggins",3059319,400900029,1,0
"Andrew Wiggins",3059319,400900046,0,0
"Andrew Wiggins",3059319,400900061,2,1
"Andrew Wiggins",3059319,400900085,3,2
"Andrew Wiggins",3059319,400900100,1,0
"Andrew Wiggins",3059319,400900112,0,0
"Andrew Wiggins",3059319,400900131,0,0
"Andrew Wiggins",3059319,400900141,2,0
"Andrew Wiggins",3059319,400900153,0,0
"Andrew Wiggins",3059319,400900168,0,0
"Andrew Wiggins",3059319,400900180,0,0
"Andrew Wiggins",3059319,400900195,2,0
"Andrew Wiggins",3059319,400900209,6,4
"Andrew Wiggins",3059319,400900221,2,0
"Andrew Wiggins",3059319,400900237,4,1
"Andrew Wiggins",3059319,400900248,6,3
"Andrew Wiggins",3059319,400900268,1,0
"Andrew Wiggins",3059319,400900278,6,4
"Andrew Wiggins",3059319,400900294,1,0
"Andrew Wiggins",3059319,400900320,0,0
"Andrew Wiggins",3059319,400900350,0,0
"Andrew Wiggins",3059319,400900363,1,0
"Andrew Wiggins",3059319,400900373,0,0
"Andrew Wiggins",3059319,400900390,0,0
"Andrew Wiggins",3059319,400900401,1,1
"Andrew Wiggins",3059319,400900420,2,0
"Andrew Wiggins",3059319,400900434,0,0
"Andrew Wiggins",3059319,400900451,0,0
"Andrew Wiggins",3059319,400900475,2,1
"Andrew Wiggins",3059319,400900481,1,0
"Andrew Wiggins",3059319,400900499,0,0
"Andrew Wiggins",3059319,400900518,1,0
"Andrew Wiggins",3059319,400900540,1,0
"Andrew Wiggins",3059319,400900556,4,2
"Andrew Wiggins",3059319,400900563,0,0
"Andrew Wiggins",3059319,400900580,1,0
"Andrew Wiggins",3059319,400900591,0,0
"Andrew Wiggins",3059319,400900602,2,1
"Andrew Wiggins",3059319,400946146,4,2
"Anthony Davis",6583,400899388,3,0
"Anthony Davis",6583,400899400,2,0
"Anthony Davis",6583,400899409,5,3
"Anthony Davis",6583,400899411,1,0
"Anthony Davis",6583,400899439,0,0
"Anthony Davis",6583,400899459,5,3
"Anthony Davis",6583,400899482,0,0
"Anthony Davis",6583,400899501,0,0
"Anthony Davis",6583,400899510,0,0
"Anthony Davis",6583,400899525,0,0
"Anthony Davis",6583,400899549,1,0
"Anthony Davis",6583,400899555,2,0
"Anthony Davis",6583,400899567,1,0
"Anthony Davis",6583,400899579,3,2
"Anthony Davis",6583,400899598,2,1
"Anthony Davis",6583,400899627,7,5
"Anthony Davis",6583,400899635,5,4
"Anthony Davis",6583,400899659,1,0
"Anthony Davis",6583,400899672,6,3
"Anthony Davis",6583,400899687,4,2
"Anthony Davis",6583,400899700,2,0
"Anthony Davis",6583,400899713,3,1
"Anthony Davis",6583,400899729,2,0
"Anthony Davis",6583,400899743,5,2
"Anthony Davis",6583,400899752,0,0
"Anthony Davis",6583,400899776,0,0
