"player","athlete_id_1","game_id","n_opportunities","n_opportunity_makes"
"Alperen Sengun",4871144,401703385,0,0
"Alperen Sengun",4871144,401703400,2,1
"Alperen Sengun",4871144,401703406,1,0
"Alperen Sengun",4871144,401703428,1,0
"Alperen Sengun",4871144,401704634,4,2
"Alperen Sengun",4871144,401704648,0,0
"Alperen Sengun",4871144,401704660,0,0
"Alperen Sengun",4871144,401704675,1,0
"Alperen Sengun",4871144,401704695,0,0
"Alperen Sengun",4871144,401704710,0,0
"Alperen Sengun",4871144,401704727,3,2
"Alperen Sengun",4871144,401704739,0,0
"Alperen Sengun",4871144,401704758,0,0
"Alperen Sengun",4871144,401704767,2,0
"Alperen Sengun",4871144,401704779,2,2
"Alperen Sengun",4871144,401704788,0,0
"Alperen Sengun",4871144,401704807,0,0
"Alperen Sengun",4871144,401704814,0,0
"Alperen Sengun",4871144,401704820,6,5
"Alperen Sengun",4871144,401704833,0,0
"Alperen Sengun",4871144,401704856,1,0
"Alperen Sengun",4871144,401704876,1,0
"Alperen Sengun",4871144,401704898,2,2
"Alperen Sengun",4871144,401704922,0,0
"Alperen Sengun",4871144,401704931,3,2
"Alperen Sengun",4871144,401704954,2,1
"Alperen Sengun",4871144,401704957,1,0
"Alperen Sengun",4871144,401704982,0,0
"Alperen Sengun",4871144,401704988,3,1
"Alperen Sengun",4871144,401705005,5,4
"Alperen Sengun",4871144,401705026,3,1
"Alperen Sengun",4871144,401705037,1,0
"Alperen Sengun",4871144,401705057,1,0
"Alperen Sengun",4871144,401705069,5,3
"Alperen Sengun",4871144,401705086,3,2
"Alperen Sengun",4871144,401705117,1,0
"Alperen Sengun",4871144,401705134,1,0
"Alperen Sengun",4871144,401705142,2,1
"Alperen Sengun",4871144,401705157,3,1
"Alperen Sengun",4871144,401705166,1,0
"Alperen Sengun",4871144,401705181,1,0
"Alperen Sengun",4871144,401705206,3,2
"Alperen Sengun",4871144,401705216,0,0
"Alperen Sengun",4871144,401705277,2,0
"Alperen Sengun",4871144,401705295,1,0
"Alperen Sengun",4871144,401705307,4,3
"Alperen Sengun",4871144,401705319,0,NA
"Alperen Sengun",4871144,401705345,2,1
"Alperen Sengun",4871144,401705350,0,0
"Alperen Sengun",4871144,401705367,0,0
"Alperen Sengun",4871144,401705375,0,0
"Alperen Sengun",4871144,401705397,1,0
"Alperen Sengun",4871144,401705410,0,0
"Alperen Sengun",4871144,401705428,4,2
"Alperen Sengun",4871144,401705448,2,1
"Alperen Sengun",4871144,401705468,4,3
"Alperen Sengun",4871144,401705479,3,2
"Alperen Sengun",4871144,401705500,2,1
"Alperen Sengun",4871144,401705515,4,4
"Alperen Sengun",4871144,401705527,2,1
"Alperen Sengun",4871144,401705536,2,1
"Alperen Sengun",4871144,401705551,1,0
"Alperen Sengun",4871144,401705565,3,1
"Alperen Sengun",4871144,401705581,0,0
"Alperen Sengun",4871144,401705631,0,0
"Alperen Sengun",4871144,401705709,3,2
"Alperen Sengun",4871144,401734905,3,0
"Alperen Sengun",4871144,401734907,2,1
"Alperen Sengun",4871144,401748705,0,0
"Alperen Sengun",4871144,401752955,0,NA
"Anfernee Simons",4351851,401703377,0,NA
"Anfernee Simons",4351851,401703400,0,0
"Anfernee Simons",4351851,401703418,2,1
"Anfernee Simons",4351851,401703429,0,0
"Anfernee Simons",4351851,401704638,0,0
"Anfernee Simons",4351851,401704652,1,0
"Anfernee Simons",4351851,401704665,0,0
"Anfernee Simons",4351851,401704678,0,0
"Anfernee Simons",4351851,401704693,2,0
"Anfernee Simons",4351851,401704706,0,0
"Anfernee Simons",4351851,401704715,4,2
"Anfernee Simons",4351851,401704730,4,2
"Anfernee Simons",4351851,401704749,0,0
"Anfernee Simons",4351851,401704759,0,0
"Anfernee Simons",4351851,401704776,0,0
"Anfernee Simons",4351851,401704833,1,0
"Anfernee Simons",4351851,401704848,0,0
"Anfernee Simons",4351851,401704854,4,3
"Anfernee Simons",4351851,401704878,6,5
"Anfernee Simons",4351851,401704905,0,0
"Anfernee Simons",4351851,401704924,0,0
"Anfernee Simons",4351851,401704937,2,1
"Anfernee Simons",4351851,401704952,0,0
"Anfernee Simons",4351851,401704967,1,0
"Anfernee Simons",4351851,401704983,0,0
"Anfernee Simons",4351851,401705000,0,0
"Anfernee Simons",4351851,401705013,1,0
"Anfernee Simons",4351851,401705034,2,0
"Anfernee Simons",4351851,401705049,1,0
"Anfernee Simons",4351851,401705059,5,3
"Anfernee Simons",4351851,401705080,1,0
"Anfernee Simons",4351851,401705087,2,1
"Anfernee Simons",4351851,401705102,2,1
"Anfernee Simons",4351851,401705126,0,0
"Anfernee Simons",4351851,401705141,0,0
"Anfernee Simons",4351851,401705157,0,0
"Anfernee Simons",4351851,401705173,2,1
"Anfernee Simons",4351851,401705188,1,0
"Anfernee Simons",4351851,401705196,1,0
"Anfernee Simons",4351851,401705213,0,0
"Anfernee Simons",4351851,401705228,3,1
"Anfernee Simons",4351851,401705244,0,0
"Anfernee Simons",4351851,401705260,0,0
"Anfernee Simons",4351851,401705275,0,0
"Anfernee Simons",4351851,401705282,0,0
"Anfernee Simons",4351851,401705298,1,0
"Anfernee Simons",4351851,401705313,2,0
"Anfernee Simons",4351851,401705329,0,0
"Anfernee Simons",4351851,401705346,0,0
"Anfernee Simons",4351851,401705362,0,0
"Anfernee Simons",4351851,401705376,1,0
"Anfernee Simons",4351851,401705393,1,0
"Anfernee Simons",4351851,401705405,1,0
"Anfernee Simons",4351851,401705419,1,0
"Anfernee Simons",4351851,401705433,1,0
"Anfernee Simons",4351851,401705442,3,1
"Anfernee Simons",4351851,401705457,3,1
"Anfernee Simons",4351851,401705474,2,1
"Anfernee Simons",4351851,401705492,2,1
"Anfernee Simons",4351851,401705504,4,2
"Anfernee Simons",4351851,401705519,0,0
"Anfernee Simons",4351851,401705546,1,0
"Anfernee Simons",4351851,401705561,1,0
"Anfernee Simons",4351851,401705574,0,0
"Anfernee Simons",4351851,401705632,0,0
"Anfernee Simons",4351851,401736809,1,0
"Anfernee Simons",4351851,401736813,1,0
"Anthony Edwards",4594268,401703377,0,0
"Anthony Edwards",4594268,401703389,3,1
"Anthony Edwards",4594268,401703406,0,0
"Anthony Edwards",4594268,401703413,0,0
"Anthony Edwards",4594268,401704628,0,0
"Anthony Edwards",4594268,401704642,0,0
"Anthony Edwards",4594268,401704659,0,0
"Anthony Edwards",4594268,401704680,5,4
"Anthony Edwards",4594268,401704705,3,2
"Anthony Edwards",4594268,401704712,1,0
"Anthony Edwards",4594268,401704728,0,0
"Anthony Edwards",4594268,401704747,4,3
"Anthony Edwards",4594268,401704759,2,1
"Anthony Edwards",4594268,401704772,0,0
"Anthony Edwards",4594268,401704792,2,0
"Anthony Edwards",4594268,401704800,2,1
"Anthony Edwards",4594268,401704827,0,0
"Anthony Edwards",4594268,401704837,0,0
"Anthony Edwards",4594268,401704860,2,1
"Anthony Edwards",4594268,401704884,0,0
"Anthony Edwards",4594268,401704890,0,0
"Anthony Edwards",4594268,401704904,1,0
"Anthony Edwards",4594268,401704921,3,2
"Anthony Edwards",4594268,401704933,2,1
"Anthony Edwards",4594268,401704949,1,0
"Anthony Edwards",4594268,401704961,0,0
"Anthony Edwards",4594268,401704972,1,0
"Anthony Edwards",4594268,401704988,5,4
"Anthony Edwards",4594268,401705007,0,0
"Anthony Edwards",4594268,401705018,3,2
"Anthony Edwards",4594268,401705030,0,0
"Anthony Edwards",4594268,401705045,2,1
"Anthony Edwards",4594268,401705066,1,0
"Anthony Edwards",4594268,401705071,3,2
"Anthony Edwards",4594268,401705085,1,0
"Anthony Edwards",4594268,401705101,0,0
"Anthony Edwards",4594268,401705114,2,0
"Anthony Edwards",4594268,401705131,1,0
"Anthony Edwards",4594268,401705144,4,3
"Anthony Edwards",4594268,401705156,0,0
"Anthony Edwards",4594268,401705167,2,1
"Anthony Edwards",4594268,401705180,0,0
"Anthony Edwards",4594268,401705200,4,4
"Anthony Edwards",4594268,401705222,0,0
"Anthony Edwards",4594268,401705238,2,1
"Anthony Edwards",4594268,401705243,5,3
"Anthony Edwards",4594268,401705270,0,0
"Anthony Edwards",4594268,401705289,2,1
