"player","athlete_id_1","game_id","n_opportunities","n_opportunity_makes"
"Aaron Gordon",3064290,401070696,0,0
"Aaron Gordon",3064290,401070703,0,0
"Aaron Gordon",3064290,401070712,1,0
"Aaron Gordon",3064290,401070721,0,0
"Aaron Gordon",3064290,401070745,3,3
"Aaron Gordon",3064290,401070762,0,0
"Aaron Gordon",3064290,401070779,1,0
"Aaron Gordon",3064290,401070798,0,0
"Aaron Gordon",3064290,401070817,2,1
"Aaron Gordon",3064290,401070823,2,1
"Aaron Gordon",3064290,401070835,3,2
"Aaron Gordon",3064290,401070848,2,1
"Aaron Gordon",3064290,401070871,2,1
"Aaron Gordon",3064290,401070883,1,0
"Aaron Gordon",3064290,401070908,0,0
"Aaron Gordon",3064290,401070917,5,4
"Aaron Gordon",3064290,401070929,0,0
"Aaron Gordon",3064290,401070957,1,0
"Aaron Gordon",3064290,401070967,1,0
"Aaron Gordon",3064290,401070981,0,0
"Aaron Gordon",3064290,401071008,3,1
"Aaron Gordon",3064290,401071032,2,0
"Aaron Gordon",3064290,401071037,1,0
"Aaron Gordon",3064290,401071051,1,0
"Aaron Gordon",3064290,401071078,0,0
"Aaron Gordon",3064290,401071099,0,0
"Aaron Gordon",3064290,401071110,0,0
"Aaron Gordon",3064290,401071137,0,0
"Aaron Gordon",3064290,401071155,0,0
"Aaron Gordon",3064290,401071172,0,0
"Aaron Gordon",3064290,401071179,2,1
"Aaron Gordon",3064290,401071195,0,0
"Aaron Gordon",3064290,401071212,3,2
"Aaron Gordon",3064290,401071219,1,0
"Aaron Gordon",3064290,401071235,2,0
"Aaron Gordon",3064290,401071247,1,0
"Aaron Gordon",3064290,401071262,0,0
"Aaron Gordon",3064290,401071274,0,0
"Aaron Gordon",3064290,401071290,1,0
"Aaron Gordon",3064290,401071308,1,0
"Aaron Gordon",3064290,401071317,3,2
"Aaron Gordon",3064290,401071333,0,0
"Aaron Gordon",3064290,401071349,3,2
"Aaron Gordon",3064290,401071381,0,0
"Aaron Gordon",3064290,401071393,2,2
"Aaron Gordon",3064290,401071412,1,0
"Aaron Gordon",3064290,401071424,0,0
"Aaron Gordon",3064290,401071438,0,0
"Aaron Gordon",3064290,401071450,1,0
"Aaron Gordon",3064290,401071475,1,0
"Aaron Gordon",3064290,401071485,0,0
"Aaron Gordon",3064290,401071506,0,0
"Aaron Gordon",3064290,401071510,0,0
"Aaron Gordon",3064290,401071524,1,0
"Aaron Gordon",3064290,401071537,0,0
"Aaron Gordon",3064290,401071548,2,1
"Aaron Gordon",3064290,401071567,0,0
"Aaron Gordon",3064290,401071581,1,0
"Aaron Gordon",3064290,401071596,2,1
"Aaron Gordon",3064290,401071609,1,0
"Aaron Gordon",3064290,401071621,0,0
"Aaron Gordon",3064290,401071633,3,2
"Aaron Gordon",3064290,401071651,1,0
"Aaron Gordon",3064290,401071669,0,0
"Aaron Gordon",3064290,401071688,1,0
"Aaron Gordon",3064290,401071694,0,0
"Aaron Gordon",3064290,401071719,2,0
"Aaron Gordon",3064290,401071739,3,2
"Aaron Gordon",3064290,401071753,0,0
"Aaron Gordon",3064290,401071776,0,0
"Aaron Gordon",3064290,401071782,0,0
"Aaron Gordon",3064290,401071795,1,0
"Aaron Gordon",3064290,401071813,3,1
"Aaron Gordon",3064290,401071829,0,0
"Aaron Gordon",3064290,401071839,0,0
"Aaron Gordon",3064290,401071854,1,0
"Aaron Gordon",3064290,401071876,1,0
"Aaron Gordon",3064290,401071895,6,5
"Andre Drummond",6585,401070694,2,0
"Andre Drummond",6585,401070714,2,1
"Andre Drummond",6585,401070730,0,0
"Andre Drummond",6585,401070744,6,5
"Andre Drummond",6585,401070755,2,1
"Andre Drummond",6585,401070780,0,0
"Andre Drummond",6585,401070785,2,2
"Andre Drummond",6585,401070806,0,0
"Andre Drummond",6585,401070821,2,1
"Andre Drummond",6585,401070835,4,2
"Andre Drummond",6585,401070850,1,0
"Andre Drummond",6585,401070865,2,1
"Andre Drummond",6585,401070887,0,0
"Andre Drummond",6585,401070921,3,2
"Andre Drummond",6585,401070939,1,0
"Andre Drummond",6585,401070948,2,1
"Andre Drummond",6585,401070968,2,0
"Andre Drummond",6585,401070982,0,0
"Andre Drummond",6585,401071002,3,1
"Andre Drummond",6585,401071012,1,0
"Andre Drummond",6585,401071024,0,0
"Andre Drummond",6585,401071042,0,0
"Andre Drummond",6585,401071050,0,0
"Andre Drummond",6585,401071068,0,0
"Andre Drummond",6585,401071073,3,1
"Andre Drummond",6585,401071086,0,0
"Andre Drummond",6585,401071112,1,0
"Andre Drummond",6585,401071124,0,0
"Andre Drummond",6585,401071144,0,0
"Andre Drummond",6585,401071150,1,0
"Andre Drummond",6585,401071167,2,1
"Andre Drummond",6585,401071178,0,0
"Andre Drummond",6585,401071194,3,2
"Andre Drummond",6585,401071212,2,1
"Andre Drummond",6585,401071226,0,0
"Andre Drummond",6585,401071236,0,0
"Andre Drummond",6585,401071253,2,2
"Andre Drummond",6585,401071267,3,3
"Andre Drummond",6585,401071292,0,0
"Andre Drummond",6585,401071296,1,0
"Andre Drummond",6585,401071306,1,1
"Andre Drummond",6585,401071324,0,0
"Andre Drummond",6585,401071333,1,0
"Andre Drummond",6585,401071348,0,NA
"Andre Drummond",6585,401071399,2,1
"Andre Drummond",6585,401071423,0,0
"Andre Drummond",6585,401071437,5,4
"Andre Drummond",6585,401071448,1,0
"Andre Drummond",6585,401071463,7,6
"Andre Drummond",6585,401071472,0,0
"Andre Drummond",6585,401071490,8,7
"Andre Drummond",6585,401071513,4,2
"Andre Drummond",6585,401071528,1,0
"Andre Drummond",6585,401071550,3,1
"Andre Drummond",6585,401071561,1,1
"Andre Drummond",6585,401071572,2,0
"Andre Drummond",6585,401071590,1,0
"Andre Drummond",6585,401071608,1,0
"Andre Drummond",6585,401071622,1,0
"Andre Drummond",6585,401071639,5,4
"Andre Drummond",6585,401071653,1,1
"Andre Drummond",6585,401071665,3,3
"Andre Drummond",6585,401071676,0,0
"Andre Drummond",6585,401071687,0,NA
"Andre Drummond",6585,401071699,1,0
"Andre Drummond",6585,401071718,1,0
"Andre Drummond",6585,401071723,0,0
"Andre Drummond",6585,401071750,2,1
"Andre Drummond",6585,401071766,1,0
"Andre Drummond",6585,401071774,0,0
"Andre Drummond",6585,401071788,0,0
"Andre Drummond",6585,401071795,7,6
"Andre Drummond",6585,401071812,6,5
"Andre Drummond",6585,401071825,0,0
"Andre Drummond",6585,401071838,4,2
"Andre Drummond",6585,401071859,0,NA
"Andre Drummond",6585,401071871,1,0
"Andre Drummond",6585,401071883,1,0
"Andre Drummond",6585,401071896,1,0
"Andrew Wiggins",3059319,401070699,0,0
"Andrew Wiggins",3059319,401070706,1,0
"Andrew Wiggins",3059319,401070715,0,0
"Andrew Wiggins",3059319,401070724,0,NA
"Andrew Wiggins",3059319,401070788,1,0
