"player","athlete_id_1","game_id","n_opportunities","n_opportunity_makes"
"Anthony Davis",6583,401584103,0,0
"Anthony Davis",6583,401584114,3,2
"Anthony Davis",6583,401584124,2,1
"Anthony Davis",6583,401584130,4,3
"Anthony Davis",6583,401584689,0,0
"Anthony Davis",6583,401584704,2,1
"Anthony Davis",6583,401584728,1,0
"Anthony Davis",6583,401584739,4,3
"Anthony Davis",6583,401584755,1,0
"Anthony Davis",6583,401584762,4,2
"Anthony Davis",6583,401584778,2,1
"Anthony Davis",6583,401584815,1,0
"Anthony Davis",6583,401584826,0,0
"Anthony Davis",6583,401584844,6,4
"Anthony Davis",6583,401584866,0,0
"Anthony Davis",6583,401584870,5,3
"Anthony Davis",6583,401584883,1,0
"Anthony Davis",6583,401584886,1,0
"Anthony Davis",6583,401584899,3,2
"Anthony Davis",6583,401584919,2,1
"Anthony Davis",6583,401584934,9,7
"Anthony Davis",6583,401584944,5,3
"Anthony Davis",6583,401584987,4,3
"Anthony Davis",6583,401584998,0,0
"Anthony Davis",6583,401585008,1,0
"Anthony Davis",6583,401585025,3,0
"Anthony Davis",6583,401585031,4,1
"Anthony Davis",6583,401585056,3,1
"Anthony Davis",6583,401585071,6,5
"Anthony Davis",6583,401585074,1,0
"Anthony Davis",6583,401585103,2,1
"Anthony Davis",6583,401585119,3,2
"Anthony Davis",6583,401585133,3,1
"Anthony Davis",6583,401585144,5,3
"Anthony Davis",6583,401585159,1,0
"Anthony Davis",6583,401585177,0,0
"Anthony Davis",6583,401585193,3,1
"Anthony Davis",6583,401585205,5,3
"Anthony Davis",6583,401585219,6,5
"Anthony Davis",6583,401585233,0,0
"Anthony Davis",6583,401585246,3,2
"Anthony Davis",6583,401585261,4,3
"Anthony Davis",6583,401585278,3,2
"Anthony Davis",6583,401585290,3,2
"Anthony Davis",6583,401585329,1,0
"Anthony Davis",6583,401585341,5,4
"Anthony Davis",6583,401585368,2,0
"Anthony Davis",6583,401585375,1,0
"Anthony Davis",6583,401585404,1,0
"Anthony Davis",6583,401585416,3,1
"Anthony Davis",6583,401585430,4,2
"Anthony Davis",6583,401585441,3,2
"Anthony Davis",6583,401585446,4,4
"Anthony Davis",6583,401585476,0,0
"Anthony Davis",6583,401585484,6,4
"Anthony Davis",6583,401585497,2,0
"Anthony Davis",6583,401585512,1,0
"Anthony Davis",6583,401585529,0,0
"Anthony Davis",6583,401585543,2,1
"Anthony Davis",6583,401585560,3,2
"Anthony Davis",6583,401585582,0,0
"Anthony Davis",6583,401585601,0,0
"Anthony Davis",6583,401585618,1,0
"Anthony Davis",6583,401585646,3,2
"Anthony Davis",6583,401585660,3,1
"Anthony Davis",6583,401585673,3,2
"Anthony Davis",6583,401585691,1,0
"Anthony Davis",6583,401585706,3,1
"Anthony Davis",6583,401585722,1,0
"Anthony Davis",6583,401585731,2,2
"Anthony Davis",6583,401585755,1,1
"Anthony Davis",6583,401585771,0,0
"Anthony Davis",6583,401585805,2,1
"Anthony Davis",6583,401585823,7,5
"Anthony Davis",6583,401607490,0,0
"Anthony Davis",6583,401607493,0,0
"Anthony Davis",6583,401607495,7,5
"Anthony Davis",6583,401623259,1,0
"Anthony Edwards",4594268,401584101,1,0
"Anthony Edwards",4594268,401584113,1,0
"Anthony Edwards",4594268,401584138,0,0
"Anthony Edwards",4594268,401584146,0,0
"Anthony Edwards",4594268,401584697,0,0
"Anthony Edwards",4594268,401584721,0,0
"Anthony Edwards",4594268,401584732,4,3
"Anthony Edwards",4594268,401584751,1,0
"Anthony Edwards",4594268,401584766,4,2
"Anthony Edwards",4594268,401584782,6,3
"Anthony Edwards",4594268,401584794,0,0
"Anthony Edwards",4594268,401584814,0,0
"Anthony Edwards",4594268,401584825,0,0
"Anthony Edwards",4594268,401584831,2,1
"Anthony Edwards",4594268,401584849,0,0
"Anthony Edwards",4594268,401584860,2,1
"Anthony Edwards",4594268,401584877,0,0
"Anthony Edwards",4594268,401584949,0,0
"Anthony Edwards",4594268,401584966,7,4
"Anthony Edwards",4594268,401584981,3,1
"Anthony Edwards",4594268,401584995,2,1
"Anthony Edwards",4594268,401585008,2,1
"Anthony Edwards",4594268,401585028,1,0
"Anthony Edwards",4594268,401585039,0,0
"Anthony Edwards",4594268,401585051,5,2
"Anthony Edwards",4594268,401585071,0,0
"Anthony Edwards",4594268,401585079,2,1
"Anthony Edwards",4594268,401585099,2,1
"Anthony Edwards",4594268,401585113,1,0
"Anthony Edwards",4594268,401585129,3,1
"Anthony Edwards",4594268,401585141,0,0
"Anthony Edwards",4594268,401585145,2,1
"Anthony Edwards",4594268,401585166,1,0
"Anthony Edwards",4594268,401585181,3,1
"Anthony Edwards",4594268,401585197,0,0
"Anthony Edwards",4594268,401585210,3,1
"Anthony Edwards",4594268,401585227,2,1
"Anthony Edwards",4594268,401585238,0,0
"Anthony Edwards",4594268,401585248,0,0
"Anthony Edwards",4594268,401585257,2,0
"Anthony Edwards",4594268,401585277,4,3
"Anthony Edwards",4594268,401585292,0,0
"Anthony Edwards",4594268,401585308,0,0
"Anthony Edwards",4594268,401585322,2,0
"Anthony Edwards",4594268,401585337,4,3
"Anthony Edwards",4594268,401585351,3,2
"Anthony Edwards",4594268,401585366,0,0
"Anthony Edwards",4594268,401585398,1,0
"Anthony Edwards",4594268,401585403,3,1
"Anthony Edwards",4594268,401585419,2,1
"Anthony Edwards",4594268,401585436,2,1
"Anthony Edwards",4594268,401585443,2,0
"Anthony Edwards",4594268,401585466,2,0
"Anthony Edwards",4594268,401585473,2,1
"Anthony Edwards",4594268,401585490,0,0
"Anthony Edwards",4594268,401585501,1,0
"Anthony Edwards",4594268,401585509,0,0
"Anthony Edwards",4594268,401585531,2,1
"Anthony Edwards",4594268,401585539,2,1
"Anthony Edwards",4594268,401585560,0,0
"Anthony Edwards",4594268,401585572,1,0
"Anthony Edwards",4594268,401585602,4,3
"Anthony Edwards",4594268,401585615,4,3
"Anthony Edwards",4594268,401585623,2,0
"Anthony Edwards",4594268,401585642,1,0
"Anthony Edwards",4594268,401585659,2,1
"Anthony Edwards",4594268,401585684,0,0
"Anthony Edwards",4594268,401585699,0,0
"Anthony Edwards",4594268,401585712,0,0
"Anthony Edwards",4594268,401585726,0,0
"Anthony Edwards",4594268,401585736,0,0
"Anthony Edwards",4594268,401585753,1,0
"Anthony Edwards",4594268,401585771,2,1
"Anthony Edwards",4594268,401585780,3,2
"Anthony Edwards",4594268,401585792,2,1
"Anthony Edwards",4594268,401585806,0,0
"Anthony Edwards",4594268,401585822,0,0
"Anthony Edwards",4594268,401616464,0,0
"Anthony Edwards",4594268,401616475,0,NA
"Anthony Edwards",4594268,401623259,0,NA
"Bam Adebayo",4066261,401584091,1,0
"Bam Adebayo",4066261,401584105,1,0
"Bam Adebayo",4066261,401584133,1,0
"Bam Adebayo",4066261,401584144,1,0
"Bam Adebayo",4066261,401584696,1,0
"Bam Adebayo",4066261,401584708,0,0
"Bam Adebayo",4066261,401584721,1,0
"Bam Adebayo",4066261,401584747,3,2
"Bam Adebayo",4066261,401584778,1,0
"Bam Adebayo",4066261,401584792,1,0
"Bam Adebayo",4066261,401584803,4,2
"Bam Adebayo",4066261,401584812,1,0
"Bam Adebayo",4066261,401584828,1,0
"Bam Adebayo",4066261,401584832,3,2
"Bam Adebayo",4066261,401584848,2,1
"Bam Adebayo",4066261,401584895,0,0
"Bam Adebayo",4066261,401584981,2,1
"Bam Adebayo",4066261,401584994,2,0
"Bam Adebayo",4066261,401585012,0,0
"Bam Adebayo",4066261,401585032,0,0
"Bam Adebayo",4066261,401585054,1,0
"Bam Adebayo",4066261,401585067,2,1
"Bam Adebayo",4066261,401585086,1,0
"Bam Adebayo",4066261,401585103,0,0
"Bam Adebayo",4066261,401585117,3,2
"Bam Adebayo",4066261,401585137,5,4
"Bam Adebayo",4066261,401585150,4,2
"Bam Adebayo",4066261,401585163,0,0
"Bam Adebayo",4066261,401585179,1,0
"Bam Adebayo",4066261,401585190,0,0
"Bam Adebayo",4066261,401585202,1,0
"Bam Adebayo",4066261,401585215,0,0
"Bam Adebayo",4066261,401585229,0,0
"Bam Adebayo",4066261,401585249,0,0
"Bam Adebayo",4066261,401585258,0,0
"Bam Adebayo",4066261,401585271,1,0
"Bam Adebayo",4066261,401585289,0,0
"Bam Adebayo",4066261,401585306,4,3
"Bam Adebayo",4066261,401585317,1,0
"Bam Adebayo",4066261,401585336,0,0
"Bam Adebayo",4066261,401585349,2,2
"Bam Adebayo",4066261,401585358,4,2
"Bam Adebayo",4066261,401585387,0,0
"Bam Adebayo",4066261,401585401,0,0
"Bam Adebayo",4066261,401585407,5,3
"Bam Adebayo",4066261,401585438,3,1
"Bam Adebayo",4066261,401585459,1,0
"Bam Adebayo",4066261,401585470,0,0
"Bam Adebayo",4066261,401585483,0,0
"Bam Adebayo",4066261,401585495,3,2
"Bam Adebayo",4066261,401585516,2,1
"Bam Adebayo",4066261,401585532,0,0
"Bam Adebayo",4066261,401585542,0,0
"Bam Adebayo",4066261,401585554,0,0
"Bam Adebayo",4066261,401585577,1,0
"Bam Adebayo",4066261,401585590,5,3
"Bam Adebayo",4066261,401585605,1,0
"Bam Adebayo",4066261,401585613,4,3
"Bam Adebayo",4066261,401585641,0,0
"Bam Adebayo",4066261,401585657,3,2
"Bam Adebayo",4066261,401585672,4,2
"Bam Adebayo",4066261,401585696,4,2
"Bam Adebayo",4066261,401585709,2,1
"Bam Adebayo",4066261,401585724,0,0
"Bam Adebayo",4066261,401585739,1,0
"Bam Adebayo",4066261,401585748,2,1
"Bam Adebayo",4066261,401585761,2,0
"Bam Adebayo",4066261,401585775,2,1
"Bam Adebayo",4066261,401585789,0,0
"Bam Adebayo",4066261,401585804,3,1
"Bam Adebayo",4066261,401585817,3,2
"Bam Adebayo",4066261,401623259,0,NA
"Bogdan Bogdanovic",3037789,401584106,2,1
"Bogdan Bogdanovic",3037789,401584117,0,0
"Bogdan Bogdanovic",3037789,401584127,5,4
"Bogdan Bogdanovic",3037789,401584143,0,0
"Bogdan Bogdanovic",3037789,401584691,0,0
