"player","athlete_id_1"
"Andrew Wiggins",3059319
"Anthony Edwards",4594268
"Bojan Bogdanovic",3593
"Bradley Beal",6580
"Brandon Ingram",3913176
"Buddy Hield",2990984
"CJ McCollum",2490149
"Chris Paul",2779
"Coby White",4395651
"Collin Sexton",4277811
"Damian Lillard",6606
"De'Aaron Fox",4066259
"DeMar DeRozan",3978
"Dejounte Murray",3907497
"Devin Booker",3136193
"Dillon Brooks",3155526
"Domantas Sabonis",3155942
"Donovan Mitchell",3908809
"Fred VanVleet",2991230
"Giannis Antetokounmpo",3032977
"Ja Morant",4279888
"Jaylen Brown",3917376
"Jayson Tatum",4065648
"Jerami Grant",2991070
"Joel Embiid",3059318
"Jordan Clarkson",2528426
"Jrue Holiday",3995
"Julius Randle",3064514
"Karl-Anthony Towns",3136195
"Kawhi Leonard",6450
"Khris Middleton",6609
"Kyrie Irving",6442
"LeBron James",1966
"Luka Doncic",3945274
"Malcolm Brogdon",2566769
"Michael Porter Jr.",4278104
"Nikola Jokic",3112335
"Nikola Vucevic",6478
"Norman Powell",2595516
"Pascal Siakam",3149673
"Paul George",4251
"RJ Barrett",4395625
"Russell Westbrook",3468
"Stephen Curry",3975
"Terry Rozier",3074752
"Tim Hardaway Jr.",2528210
"Tobias Harris",6440
"Trae Young",4277905
"Zach LaVine",3064440
"Zion Williamson",4395628
