"player","athlete_id_1","game_id","n_opportunities","n_opportunity_makes"
"Andrew Wiggins",3059319,401358774,0,0
"Andrew Wiggins",3059319,401358778,1,0
"Andrew Wiggins",3059319,401359863,0,0
"Andrew Wiggins",3059319,401359875,0,0
"Andrew Wiggins",3059319,401359894,0,0
"Andrew Wiggins",3059319,401359910,1,0
"Andrew Wiggins",3059319,401359941,0,0
"Andrew Wiggins",3059319,401359954,1,0
"Andrew Wiggins",3059319,401359969,2,1
"Andrew Wiggins",3059319,401359976,0,0
"Andrew Wiggins",3059319,401359993,10,8
"Andrew Wiggins",3059319,401360007,0,0
"Andrew Wiggins",3059319,401360018,3,0
"Andrew Wiggins",3059319,401360034,3,3
"Andrew Wiggins",3059319,401360048,0,0
"Andrew Wiggins",3059319,401360055,1,0
"Andrew Wiggins",3059319,401360076,2,1
"Andrew Wiggins",3059319,401360102,1,0
"Andrew Wiggins",3059319,401360114,0,0
"Andrew Wiggins",3059319,401360124,0,0
"Andrew Wiggins",3059319,401360140,0,0
"Andrew Wiggins",3059319,401360164,2,0
"Andrew Wiggins",3059319,401360170,0,0
"Andrew Wiggins",3059319,401360185,4,2
"Andrew Wiggins",3059319,401360200,0,0
"Andrew Wiggins",3059319,401360220,0,0
"Andrew Wiggins",3059319,401360229,0,0
"Andrew Wiggins",3059319,401360238,0,0
"Andrew Wiggins",3059319,401360259,3,0
"Andrew Wiggins",3059319,401360333,1,0
"Andrew Wiggins",3059319,401360363,4,2
"Andrew Wiggins",3059319,401360378,2,0
"Andrew Wiggins",3059319,401360391,0,0
"Andrew Wiggins",3059319,401360399,1,0
"Andrew Wiggins",3059319,401360423,0,0
"Andrew Wiggins",3059319,401360433,0,0
"Andrew Wiggins",3059319,401360446,0,0
"Andrew Wiggins",3059319,401360456,3,2
"Andrew Wiggins",3059319,401360471,1,0
"Andrew Wiggins",3059319,401360486,4,2
"Andrew Wiggins",3059319,401360502,0,0
"Andrew Wiggins",3059319,401360513,0,0
"Andrew Wiggins",3059319,401360527,0,0
"Andrew Wiggins",3059319,401360539,1,0
"Andrew Wiggins",3059319,401360553,1,0
"Andrew Wiggins",3059319,401360569,2,1
"Andrew Wiggins",3059319,401360583,4,3
"Andrew Wiggins",3059319,401360604,1,1
"Andrew Wiggins",3059319,401360632,1,0
"Andrew Wiggins",3059319,401360647,0,0
"Andrew Wiggins",3059319,401360656,1,0
"Andrew Wiggins",3059319,401360673,0,0
"Andrew Wiggins",3059319,401360685,1,0
"Andrew Wiggins",3059319,401360702,0,0
"Andrew Wiggins",3059319,401360713,0,0
"Andrew Wiggins",3059319,401360736,2,1
"Andrew Wiggins",3059319,401360749,1,0
"Andrew Wiggins",3059319,401360762,0,0
"Andrew Wiggins",3059319,401360778,0,0
"Andrew Wiggins",3059319,401360799,2,1
"Andrew Wiggins",3059319,401360813,0,0
"Andrew Wiggins",3059319,401360827,2,1
"Andrew Wiggins",3059319,401360889,0,0
"Andrew Wiggins",3059319,401360899,0,0
"Andrew Wiggins",3059319,401360907,1,0
"Andrew Wiggins",3059319,401360921,1,0
"Andrew Wiggins",3059319,401360936,2,1
"Andrew Wiggins",3059319,401360948,0,0
"Andrew Wiggins",3059319,401360964,1,0
"Andrew Wiggins",3059319,401360984,3,3
"Andrew Wiggins",3059319,401360995,0,0
"Andrew Wiggins",3059319,401361021,1,0
"Andrew Wiggins",3059319,401361034,1,0
"Andrew Wiggins",3059319,401410564,1,0
"Anthony Edwards",4594268,401359837,1,0
"Anthony Edwards",4594268,401359855,1,0
"Anthony Edwards",4594268,401359871,2,0
"Anthony Edwards",4594268,401359884,1,0
"Anthony Edwards",4594268,401359911,0,0
"Anthony Edwards",4594268,401359925,0,0
"Anthony Edwards",4594268,401359939,2,1
"Anthony Edwards",4594268,401359953,1,0
"Anthony Edwards",4594268,401359973,1,0
"Anthony Edwards",4594268,401359993,2,0
"Anthony Edwards",4594268,401360008,1,0
"Anthony Edwards",4594268,401360015,0,0
"Anthony Edwards",4594268,401360030,0,0
"Anthony Edwards",4594268,401360044,2,0
"Anthony Edwards",4594268,401360051,1,0
"Anthony Edwards",4594268,401360069,6,5
"Anthony Edwards",4594268,401360083,1,0
"Anthony Edwards",4594268,401360098,2,0
"Anthony Edwards",4594268,401360105,0,0
"Anthony Edwards",4594268,401360116,2,1
"Anthony Edwards",4594268,401360133,0,0
"Anthony Edwards",4594268,401360145,0,0
"Anthony Edwards",4594268,401360160,0,0
"Anthony Edwards",4594268,401360183,0,0
"Anthony Edwards",4594268,401360198,2,1
"Anthony Edwards",4594268,401360211,0,0
"Anthony Edwards",4594268,401360226,0,0
"Anthony Edwards",4594268,401360248,7,4
"Anthony Edwards",4594268,401360356,0,0
"Anthony Edwards",4594268,401360370,0,0
"Anthony Edwards",4594268,401360380,1,0
"Anthony Edwards",4594268,401360393,0,0
"Anthony Edwards",4594268,401360406,4,3
"Anthony Edwards",4594268,401360419,1,0
"Anthony Edwards",4594268,401360434,2,1
"Anthony Edwards",4594268,401360447,2,1
"Anthony Edwards",4594268,401360471,0,0
"Anthony Edwards",4594268,401360485,0,0
"Anthony Edwards",4594268,401360489,0,0
"Anthony Edwards",4594268,401360525,0,0
"Anthony Edwards",4594268,401360540,7,5
"Anthony Edwards",4594268,401360553,2,1
"Anthony Edwards",4594268,401360562,2,0
"Anthony Edwards",4594268,401360576,1,0
"Anthony Edwards",4594268,401360589,0,0
"Anthony Edwards",4594268,401360601,0,0
"Anthony Edwards",4594268,401360622,0,0
"Anthony Edwards",4594268,401360643,0,0
"Anthony Edwards",4594268,401360649,0,0
"Anthony Edwards",4594268,401360662,3,1
"Anthony Edwards",4594268,401360676,1,0
"Anthony Edwards",4594268,401360690,0,0
"Anthony Edwards",4594268,401360699,0,0
"Anthony Edwards",4594268,401360711,0,0
"Anthony Edwards",4594268,401360720,1,0
"Anthony Edwards",4594268,401360739,1,0
"Anthony Edwards",4594268,401360805,0,0
"Anthony Edwards",4594268,401360814,1,0
"Anthony Edwards",4594268,401360824,0,0
"Anthony Edwards",4594268,401360843,0,0
"Anthony Edwards",4594268,401360858,1,0
"Anthony Edwards",4594268,401360877,3,1
"Anthony Edwards",4594268,401360898,0,0
"Anthony Edwards",4594268,401360909,0,0
"Anthony Edwards",4594268,401360923,1,0
"Anthony Edwards",4594268,401360935,1,0
"Anthony Edwards",4594268,401360960,2,0
"Anthony Edwards",4594268,401360978,2,2
"Anthony Edwards",4594268,401360992,3,1
"Anthony Edwards",4594268,401361003,0,0
"Anthony Edwards",4594268,401361018,3,1
"Anthony Edwards",4594268,401361043,0,0
"Brandon Ingram",3913176,401359838,3,1
"Brandon Ingram",3913176,401359847,3,1
"Brandon Ingram",3913176,401359855,3,1
"Brandon Ingram",3913176,401359871,2,1
"Brandon Ingram",3913176,401359883,2,0
"Brandon Ingram",3913176,401359898,1,0
"Brandon Ingram",3913176,401360012,0,0
"Brandon Ingram",3913176,401360025,2,0
"Brandon Ingram",3913176,401360041,1,0
"Brandon Ingram",3913176,401360059,1,0
"Brandon Ingram",3913176,401360064,0,0
"Brandon Ingram",3913176,401360083,0,0
"Brandon Ingram",3913176,401360099,2,1
"Brandon Ingram",3913176,401360113,0,0
"Brandon Ingram",3913176,401360123,0,0
"Brandon Ingram",3913176,401360137,3,2
"Brandon Ingram",3913176,401360149,2,0
"Brandon Ingram",3913176,401360162,0,0
"Brandon Ingram",3913176,401360176,1,0
"Brandon Ingram",3913176,401360199,3,2
"Brandon Ingram",3913176,401360212,2,1
"Brandon Ingram",3913176,401360225,1,0
"Brandon Ingram",3913176,401360246,1,0
"Brandon Ingram",3913176,401360262,1,0
"Brandon Ingram",3913176,401360291,2,0
"Brandon Ingram",3913176,401360301,3,2
"Brandon Ingram",3913176,401360316,0,NA
"Brandon Ingram",3913176,401360376,0,0
"Brandon Ingram",3913176,401360384,1,0
"Brandon Ingram",3913176,401360399,2,1
"Brandon Ingram",3913176,401360418,1,0
"Brandon Ingram",3913176,401360434,1,0
"Brandon Ingram",3913176,401360448,3,2
"Brandon Ingram",3913176,401360463,0,0
"Brandon Ingram",3913176,401360473,0,0
"Brandon Ingram",3913176,401360500,0,0
"Brandon Ingram",3913176,401360585,0,0
"Brandon Ingram",3913176,401360613,0,0
"Brandon Ingram",3913176,401360627,3,1
"Brandon Ingram",3913176,401360638,4,3
"Brandon Ingram",3913176,401360652,0,0
"Brandon Ingram",3913176,401360667,1,0
"Brandon Ingram",3913176,401360682,0,0
"Brandon Ingram",3913176,401360691,0,0
"Brandon Ingram",3913176,401360705,0,0
"Brandon Ingram",3913176,401360721,1,0
"Brandon Ingram",3913176,401360738,1,0
"Brandon Ingram",3913176,401360756,6,3
"Brandon Ingram",3913176,401360769,2,0
"Brandon Ingram",3913176,401360786,4,2
"Brandon Ingram",3913176,401360938,2,0
"Brandon Ingram",3913176,401360965,0,0
"Brandon Ingram",3913176,401360979,2,1
"Brandon Ingram",3913176,401360996,0,0
"Brandon Ingram",3913176,401361007,0,0
"Buddy Hield",2990984,401359841,0,0
"Buddy Hield",2990984,401359850,2,1
"Buddy Hield",2990984,401359863,0,0
"Buddy Hield",2990984,401359886,1,0
"Buddy Hield",2990984,401359898,0,0
"Buddy Hield",2990984,401359913,0,0
"Buddy Hield",2990984,401359929,0,0
"Buddy Hield",2990984,401359942,0,0
"Buddy Hield",2990984,401359956,3,1
"Buddy Hield",2990984,401359967,0,0
"Buddy Hield",2990984,401359977,2,1
"Buddy Hield",2990984,401359990,0,0
"Buddy Hield",2990984,401360004,0,0
"Buddy Hield",2990984,401360024,1,0
"Buddy Hield",2990984,401360044,1,0
"Buddy Hield",2990984,401360062,0,0
"Buddy Hield",2990984,401360071,1,0
"Buddy Hield",2990984,401360086,3,2
"Buddy Hield",2990984,401360103,0,0
"Buddy Hield",2990984,401360115,0,0
"Buddy Hield",2990984,401360127,1,0
"Buddy Hield",2990984,401360142,0,0
"Buddy Hield",2990984,401360151,0,0
"Buddy Hield",2990984,401360172,0,0
"Buddy Hield",2990984,401360201,0,0
"Buddy Hield",2990984,401360206,0,0
"Buddy Hield",2990984,401360217,0,0
"Buddy Hield",2990984,401360230,0,0
"Buddy Hield",2990984,401360251,0,0
"Buddy Hield",2990984,401360264,0,0
"Buddy Hield",2990984,401360275,2,2
"Buddy Hield",2990984,401360286,0,0
"Buddy Hield",2990984,401360299,2,1
"Buddy Hield",2990984,401360315,0,NA
"Buddy Hield",2990984,401360334,2,1
"Buddy Hield",2990984,401360343,0,0
"Buddy Hield",2990984,401360350,0,0
"Buddy Hield",2990984,401360367,3,1
"Buddy Hield",2990984,401360385,2,1
"Buddy Hield",2990984,401360396,0,0
"Buddy Hield",2990984,401360407,0,0
"Buddy Hield",2990984,401360424,0,0
"Buddy Hield",2990984,401360430,2,0
"Buddy Hield",2990984,401360445,0,0
"Buddy Hield",2990984,401360459,0,0
"Buddy Hield",2990984,401360470,0,0
"Buddy Hield",2990984,401360498,0,NA
"Buddy Hield",2990984,401360515,0,0
"Buddy Hield",2990984,401360536,0,0
"Buddy Hield",2990984,401360544,0,0
"Buddy Hield",2990984,401360566,0,0
"Buddy Hield",2990984,401360582,0,0
"Buddy Hield",2990984,401360599,0,0
"Buddy Hield",2990984,401360604,0,0
"Buddy Hield",2990984,401360620,0,0
"Buddy Hield",2990984,401360658,0,0
"Buddy Hield",2990984,401360676,0,0
"Buddy Hield",2990984,401360689,4,2
"Buddy Hield",2990984,401360695,1,0
"Buddy Hield",2990984,401360716,3,2
"Buddy Hield",2990984,401360733,2,2
"Buddy Hield",2990984,401360740,0,0
"Buddy Hield",2990984,401360752,0,0
"Buddy Hield",2990984,401360765,0,0
"Buddy Hield",2990984,401360782,3,1
"Buddy Hield",2990984,401360795,3,2
"Buddy Hield",2990984,401360826,0,0
"Buddy Hield",2990984,401360835,2,1
"Buddy Hield",2990984,401360848,0,0
"Buddy Hield",2990984,401360868,0,0
"Buddy Hield",2990984,401360881,0,0
"Buddy Hield",2990984,401360905,3,1
"Buddy Hield",2990984,401360915,0,0
"Buddy Hield",2990984,401360928,0,0
"Buddy Hield",2990984,401360943,3,1
"Buddy Hield",2990984,401360956,1,0
"Buddy Hield",2990984,401360972,0,0
"Buddy Hield",2990984,401360988,1,0
"Buddy Hield",2990984,401360997,3,2
"Buddy Hield",2990984,401361033,0,0
"Buddy Hield",2990984,401361035,0,0
"CJ McCollum",2490149,401359841,3,0
"CJ McCollum",2490149,401359857,2,0
"CJ McCollum",2490149,401359873,1,0
"CJ McCollum",2490149,401359887,0,0
"CJ McCollum",2490149,401359900,0,0
"CJ McCollum",2490149,401359914,0,0
"CJ McCollum",2490149,401359920,4,3
"CJ McCollum",2490149,401359932,0,0
"CJ McCollum",2490149,401359955,4,3
"CJ McCollum",2490149,401359962,0,0
"CJ McCollum",2490149,401359981,0,0
"CJ McCollum",2490149,401359992,1,0
"CJ McCollum",2490149,401360001,1,0
"CJ McCollum",2490149,401360021,0,0
"CJ McCollum",2490149,401360032,3,1
"CJ McCollum",2490149,401360047,0,0
"CJ McCollum",2490149,401360070,0,0
"CJ McCollum",2490149,401360089,3,1
"CJ McCollum",2490149,401360103,0,0
"CJ McCollum",2490149,401360114,0,0
"CJ McCollum",2490149,401360136,0,0
"CJ McCollum",2490149,401360141,0,0
"CJ McCollum",2490149,401360156,0,0
"CJ McCollum",2490149,401360171,1,0
"CJ McCollum",2490149,401360480,0,0
"CJ McCollum",2490149,401360491,2,0
"CJ McCollum",2490149,401360507,0,0
"CJ McCollum",2490149,401360521,2,1
"CJ McCollum",2490149,401360540,0,0
"CJ McCollum",2490149,401360551,2,0
"CJ McCollum",2490149,401360558,2,1
"CJ McCollum",2490149,401360572,1,0
"CJ McCollum",2490149,401360584,2,1
"CJ McCollum",2490149,401360600,1,0
"CJ McCollum",2490149,401360614,0,0
"CJ McCollum",2490149,401360619,1,0
"CJ McCollum",2490149,401360652,0,0
"CJ McCollum",2490149,401360667,4,2
"CJ McCollum",2490149,401360682,2,1
"CJ McCollum",2490149,401360691,1,0
"CJ McCollum",2490149,401360705,3,1
"CJ McCollum",2490149,401360721,1,0
"CJ McCollum",2490149,401360738,2,1
"CJ McCollum",2490149,401360756,0,0
"CJ McCollum",2490149,401360769,3,1
"CJ McCollum",2490149,401360786,1,0
"CJ McCollum",2490149,401360797,4,2
"CJ McCollum",2490149,401360806,4,2
"CJ McCollum",2490149,401360851,2,1
"CJ McCollum",2490149,401360869,1,0
"CJ McCollum",2490149,401360883,0,0
"CJ McCollum",2490149,401360890,2,1
"CJ McCollum",2490149,401360917,1,0
"CJ McCollum",2490149,401360926,3,1
"CJ McCollum",2490149,401360938,0,0
"CJ McCollum",2490149,401360965,3,2
"CJ McCollum",2490149,401360979,3,1
"CJ McCollum",2490149,401360996,0,0
"CJ McCollum",2490149,401361007,1,0
"CJ McCollum",2490149,401361019,0,0
"CJ McCollum",2490149,401361032,0,0
"CJ McCollum",2490149,401361044,0,NA
"Cade Cunningham",4432166,401359903,0,0
"Cade Cunningham",4432166,401359927,0,0
"Cade Cunningham",4432166,401359943,0,0
"Cade Cunningham",4432166,401359948,1,0
"Cade Cunningham",4432166,401359986,0,0
"Cade Cunningham",4432166,401360000,0,0
"Cade Cunningham",4432166,401360013,0,0
"Cade Cunningham",4432166,401360024,2,1
"Cade Cunningham",4432166,401360038,0,0
"Cade Cunningham",4432166,401360055,1,0
"Cade Cunningham",4432166,401360073,0,0
"Cade Cunningham",4432166,401360087,0,0
"Cade Cunningham",4432166,401360097,0,0
"Cade Cunningham",4432166,401360104,0,0
"Cade Cunningham",4432166,401360128,1,0
"Cade Cunningham",4432166,401360141,4,2
"Cade Cunningham",4432166,401360155,3,2
"Cade Cunningham",4432166,401360178,1,0
"Cade Cunningham",4432166,401360192,1,1
"Cade Cunningham",4432166,401360212,0,0
"Cade Cunningham",4432166,401360223,1,0
"Cade Cunningham",4432166,401360252,0,0
"Cade Cunningham",4432166,401360265,2,1
"Cade Cunningham",4432166,401360273,0,0
"Cade Cunningham",4432166,401360290,0,0
"Cade Cunningham",4432166,401360375,0,0
"Cade Cunningham",4432166,401360386,3,2
"Cade Cunningham",4432166,401360398,2,1
"Cade Cunningham",4432166,401360412,0,0
"Cade Cunningham",4432166,401360427,3,2
"Cade Cunningham",4432166,401360436,1,0
"Cade Cunningham",4432166,401360452,0,0
"Cade Cunningham",4432166,401360486,0,0
