"player","athlete_id_1"
"Andrew Wiggins",3059319
"Anthony Davis",6583
"Blake Griffin",3989
"Bradley Beal",6580
"Brook Lopez",3448
"CJ McCollum",2490149
"Carmelo Anthony",1975
"Damian Lillard",6606
"DeMar DeRozan",3978
"DeMarcus Cousins",4258
"Dennis Schroder",3032979
"Derrick Rose",3456
"Devin Booker",3136193
"Dwyane Wade",1987
"Eric Bledsoe",4238
"Eric Gordon",3431
"Giannis Antetokounmpo",3032977
"Goran Dragic",3423
"Gordon Hayward",4249
"Harrison Barnes",6578
"Hassan Whiteside",4262
"Isaiah Thomas",6472
"James Harden",3992
"Jimmy Butler",6430
"John Wall",4237
"Jordan Clarkson",2528426
"Karl-Anthony Towns",3136195
"Kawhi Leonard",6450
"Kemba Walker",6479
"Kevin Durant",3202
"Klay Thompson",6475
"Kristaps Porzingis",3102531
"Kyrie Irving",6442
"LaMarcus Aldridge",2983
"LeBron James",1966
"Lou Williams",2799
"Marc Gasol",3206
"Marcus Morris",6462
"Mike Conley",3195
"Nicolas Batum",3416
"Nikola Vucevic",6478
"Paul George",4251
"Paul Millsap",3015
"Russell Westbrook",3468
"Serge Ibaka",3439
"Stephen Curry",3975
"Tobias Harris",6440
"Victor Oladipo",2527963
"Wilson Chandler",3194
"Zach Randolph",1017
