"player","athlete_id_1"
"Andrew Wiggins",3059319
"Anthony Davis",6583
"Ben Simmons",3907387
"Blake Griffin",3989
"Bradley Beal",6580
"Buddy Hield",2990984
"CJ McCollum",2490149
"Carmelo Anthony",1975
"Damian Lillard",6606
"DeMar DeRozan",3978
"Dennis Schroder",3032979
"Dennis Smith Jr.",4065697
"Devin Booker",3136193
"Donovan Mitchell",3908809
"Dwight Howard",2384
"Eric Bledsoe",4238
"Eric Gordon",3431
"Gary Harris",2999547
"Giannis Antetokounmpo",3032977
"Goran Dragic",3423
"Harrison Barnes",6578
"Jamal Murray",3936299
"James Harden",3992
"Jimmy Butler",6430
"Joel Embiid",3059318
"Jordan Clarkson",2528426
"Josh Jackson",4066297
"Jrue Holiday",3995
"Julius Randle",3064514
"Jusuf Nurkic",3102530
"Karl-Anthony Towns",3136195
"Kemba Walker",6479
"Kevin Durant",3202
"Khris Middleton",6609
"Klay Thompson",6475
"Kyle Kuzma",3134907
"Kyle Lowry",3012
"Kyrie Irving",6442
"LaMarcus Aldridge",2983
"LeBron James",1966
"Lou Williams",2799
"Marc Gasol",3206
"Nikola Jokic",3112335
"Paul George",4251
"Russell Westbrook",3468
"TJ Warren",2982334
"Taurean Prince",2990962
"Tobias Harris",6440
"Victor Oladipo",2527963
"Will Barton",6579
