"player","athlete_id_1"
"Anfernee Simons",4351851
"Anthony Edwards",4594268
"Bam Adebayo",4066261
"Buddy Hield",2990984
"CJ McCollum",2490149
"Damian Lillard",6606
"Darius Garland",4396907
"De'Aaron Fox",4066259
"DeMar DeRozan",3978
"Dejounte Murray",3907497
"Devin Booker",3136193
"Donovan Mitchell",3908809
"Franz Wagner",4566434
"Fred VanVleet",2991230
"Giannis Antetokounmpo",3032977
"Ja Morant",4279888
"Jalen Brunson",3934672
"Jalen Green",4437244
"Jamal Murray",3936299
"Jaylen Brown",3917376
"Jayson Tatum",4065648
"Joel Embiid",3059318
"Jordan Clarkson",2528426
"Jordan Poole",4277956
"Josh Giddey",4871145
"Jrue Holiday",3995
"Julius Randle",3064514
"Keldon Johnson",4395723
"Klay Thompson",6475
"Kristaps Porzingis",3102531
"Kyle Kuzma",3134907
"Kyrie Irving",6442
"Lauri Markkanen",4066336
"LeBron James",1966
"Luka Doncic",3945274
"Mikal Bridges",3147657
"Nikola Jokic",3112335
"Nikola Vucevic",6478
"Paolo Banchero",4432573
"Pascal Siakam",3149673
"Paul George",4251
"RJ Barrett",4395625
"Scottie Barnes",4433134
"Shai Gilgeous-Alexander",4278073
"Spencer Dinwiddie",2580782
"Stephen Curry",3975
"Terry Rozier",3074752
"Trae Young",4277905
"Tyler Herro",4395725
"Zach LaVine",3064440
