"","game_id","player","obs_beta","null_mean","null_sd","p_value"
"1",400827911,"Avery Bradley",NA,-15.1819062893985,8.29538002555135,NA
"2",400827911,"DeMar DeRozan",NA,-11.6687612389079,18.016793171653,NA
"3",400827911,"Isaiah Thomas",NA,-6.35034689190791,16.3966334391183,NA
"4",400827911,"Kyle Lowry",NA,-14.1206712096186,8.80820157534867,NA
"5",400827977,"Kawhi Leonard",-5.1329054933928e-16,-4.78095215213336,18.4294073816864,0.38871473354232
"6",400827977,"Kemba Walker",18.4674562318141,-1.88643521913426,20.5884541706051,0.104104104104104
"7",400827977,"LaMarcus Aldridge",-18.8537505823152,-8.51808401452074,11.550740592676,0.655692729766804
"8",400828288,"Chris Paul",NA,-10.5876447701988,12.332033129101,NA
"9",400828288,"James Harden",NA,-2.43878806475399,11.0597302705602,NA
"10",400828499,"Dirk Nowitzki",NA,NA,NA,NA
"11",400828499,"Kawhi Leonard",-39.1321370296388,-15.268110526899,17.2577067193543,0.926121372031662
"12",400828499,"LaMarcus Aldridge",-1.92601407050837e-08,-5.95269682168434,9.60253857048321,0.565874730021598
"13",400828507,"Al Horford",-2.1136663024625e-09,-7.37225262022105,19.9862042514303,0.422028353326063
"14",400828507,"Jeff Teague",NA,-7.64770465849206,13.0494883913647,NA
"15",400828507,"Nikola Vucevic",-17.5660684863597,-13.4539486756132,12.3869683701041,0.857868020304569
"16",400828507,"Paul Millsap",NA,-14.8268582884306,22.6200605823961,NA
"17",400828813,"Andrew Wiggins",17.8729213269891,-2.5130315058073,21.4912539277754,0.3420523138833
"18",400828813,"Karl-Anthony Towns",17.6497777815603,0.475470698052257,13.2381100693009,0.173
"19",400828813,"Zach LaVine",-4.85646005598622e-09,-1.8942971616073,11.6646797929997,0.526579739217653
"20",400899512,"Harrison Barnes",-22.3578279909197,-3.93162659335946,11.8431109732417,0.997967479674797
"21",400899670,"Blake Griffin",-18.5660685098645,-15.1430839819,10.4747203941859,0.938095238095238
"22",400899670,"Harrison Barnes",NA,-2.83943241138215,16.0860759256736,NA
"23",400899742,"Marcus Morris",0.693147180559945,-8.89903723883555,14.0122584070982,0.18125
"24",400899742,"Nikola Vucevic",0.405465108108164,-8.65343887838221,19.7963449501305,0.297846889952153
"25",400899742,"Serge Ibaka",-49.1321382848743,-4.19255574223403,16.3872411258891,0.997
"26",400899742,"Tobias Harris",NA,-8.78828155054043,16.8811901140785,NA
"27",400900019,"CJ McCollum",18.1606033995036,-4.55810872896608,15.7721658691009,0.0901234567901235
"28",400900019,"Damian Lillard",16.872921305819,-4.86933099118743,14.760952077136,0.213768115942029
"29",400900019,"Nikola Vucevic",16.4674561994007,-0.74160008112721,19.7805413737657,0.31
"30",400900019,"Serge Ibaka",-18.9715336179719,-11.288509029802,18.8035720230479,0.6
"31",400900284,"CJ McCollum",NA,-11.0573324474383,11.8995406588384,NA
"32",400900284,"Damian Lillard",-0.405465108108164,-6.95690838668398,14.5180258373951,0.328162291169451
"33",400900284,"DeMar DeRozan",-19.6646807985324,-1.91413062268101,15.5472800173461,0.830699774266366
"34",400900284,"Serge Ibaka",-1.09861228866811,-9.0692318895037,13.4290648645454,0.395465994962217
"35",400900555,"Dennis Schroder",NA,-12.4950229951692,16.9557662811655,NA
"36",400900555,"Isaiah Thomas",NA,-8.39233348213176,13.2295091398507,NA
"37",400900555,"Paul Millsap",-0.287682072451781,-8.19990132307232,19.9965353762402,0.333769633507853
"38",400974443,"Giannis Antetokounmpo",-3.25809653802148,3.23962491396104,10.4332422336997,0.935
"39",400974443,"Khris Middleton",NA,-11.7027568435498,18.0116405024992,NA
"40",400974443,"LeBron James",18.2592156693222,-0.423644007408651,14.9564924695109,0.0704663212435233
"41",400974769,"DeMar DeRozan",NA,NA,NA,NA
