"player","athlete_id_1"
"Al Horford",3213
"Andre Drummond",6585
"Andrew Wiggins",3059319
"Anthony Davis",6583
"Avery Bradley",4240
"Brook Lopez",3448
"C.J. McCollum",2490149
"Carmelo Anthony",1975
"Chris Paul",2779
"Damian Lillard",6606
"DeMar DeRozan",3978
"DeMarcus Cousins",4258
"Derrick Rose",3456
"Dirk Nowitzki",609
"Dwyane Wade",1987
"Giannis Antetokounmpo",3032977
"Gordon Hayward",4249
"Isaiah Thomas",6472
"Ish Smith",4305
"James Harden",3992
"Jeff Teague",4015
"Jimmy Butler",6430
"John Wall",4237
"Jordan Clarkson",2528426
"Karl-Anthony Towns",3136195
"Kawhi Leonard",6450
"Kemba Walker",6479
"Kentavious Caldwell-Pope",2581018
"Kevin Durant",3202
"Kevin Love",3449
"Khris Middleton",6609
"Klay Thompson",6475
"Kobe Bryant",110
"Kyle Lowry",3012
"LaMarcus Aldridge",2983
"LeBron James",1966
"Monta Ellis",2751
"Nikola Vucevic",6478
"Pau Gasol",996
"Paul George",4251
"Paul Millsap",3015
"Reggie Jackson",6443
"Rodney Hood",2581177
"Rudy Gay",3005
"Russell Westbrook",3468
"Stephen Curry",3975
"Thaddeus Young",3244
"Victor Oladipo",2527963
"Will Barton",6579
"Zach LaVine",3064440
