"","player","athlete_id_1","game_id","season_end","make","shot_dist","is_opportunity","dist_category","shot_number","lag1","lag2","lag3","prev3_sum"
"58","Andre Drummond",6585,400828415,"2016",1,5,0,"Close",3,1,0,NA,NA
"59","Andre Drummond",6585,400828415,"2016",1,7.61577310586391,0,"Close",4,1,1,0,2
"60","Andre Drummond",6585,400828415,"2016",0,1.4142135623731,1,"Close",5,1,1,1,3
"61","Andre Drummond",6585,400828415,"2016",1,6.40312423743285,0,"Close",6,0,1,1,2
"62","Andre Drummond",6585,400828415,"2016",1,1,0,"Close",7,1,0,1,2
"63","Andre Drummond",6585,400828415,"2016",1,10.1980390271856,0,"Midrange",8,1,1,0,2
"64","Andre Drummond",6585,400828710,"2016",0,8.60232526704263,0,"Midrange",1,NA,NA,NA,NA
"65","Andre Drummond",6585,400828710,"2016",1,1,0,"Close",2,0,NA,NA,NA
"66","Andre Drummond",6585,400828710,"2016",1,0,0,"Close",3,1,0,NA,NA
"67","Andre Drummond",6585,400828710,"2016",1,1.4142135623731,0,"Close",4,1,1,0,2
"68","Andre Drummond",6585,400828710,"2016",1,6,1,"Close",5,1,1,1,3
"69","Andre Drummond",6585,400828710,"2016",1,7,1,"Close",6,1,1,1,3
"70","Andre Drummond",6585,400828710,"2016",0,6.08276253029822,1,"Close",7,1,1,1,3
"71","Andre Drummond",6585,400828710,"2016",1,0,0,"Close",8,0,1,1,2
"72","Andre Drummond",6585,400828710,"2016",0,0,0,"Close",9,1,0,1,2
"73","Andre Drummond",6585,400828710,"2016",1,0,0,"Close",10,0,1,0,1
"74","Andre Drummond",6585,400828710,"2016",1,1,0,"Close",11,1,0,1,2
"75","Andre Drummond",6585,400828710,"2016",1,0,0,"Close",12,1,1,0,2
"76","Andre Drummond",6585,400828710,"2016",0,0,1,"Close",13,1,1,1,3
"77","Andre Drummond",6585,400828945,"2016",0,5,0,"Close",1,NA,NA,NA,NA
"78","Andre Drummond",6585,400828945,"2016",0,7.07106781186548,0,"Close",2,0,NA,NA,NA
"79","Andre Drummond",6585,400828945,"2016",0,8.24621125123532,0,"Midrange",3,0,0,NA,NA
"80","Andre Drummond",6585,400828945,"2016",0,5.3851648071345,0,"Close",4,0,0,0,0
"81","Andre Drummond",6585,400828945,"2016",1,4.12310562561766,0,"Close",5,0,0,0,0
"82","Andre Drummond",6585,400828945,"2016",0,0,0,"Close",6,1,0,0,1
"83","Andre Drummond",6585,400828945,"2016",1,0,0,"Close",7,0,1,0,1
"84","Andre Drummond",6585,400828945,"2016",0,3.60555127546399,0,"Close",8,1,0,1,2
"85","Andre Drummond",6585,400828945,"2016",1,1,0,"Close",9,0,1,0,1
"86","Andre Drummond",6585,400828945,"2016",1,0,0,"Close",10,1,0,1,2
"87","Andre Drummond",6585,400828945,"2016",1,1,0,"Close",11,1,1,0,2
"88","Andre Drummond",6585,400828945,"2016",1,0,1,"Close",12,1,1,1,3
"89","Andre Drummond",6585,400828945,"2016",1,8.06225774829855,1,"Midrange",13,1,1,1,3
"90","Andre Drummond",6585,400828945,"2016",1,6.08276253029822,1,"Close",14,1,1,1,3
"91","Andre Drummond",6585,400828945,"2016",1,3.60555127546399,1,"Close",15,1,1,1,3
"92","Andre Drummond",6585,400828945,"2016",1,0,1,"Close",16,1,1,1,3
"93","Andre Drummond",6585,400828945,"2016",1,0,1,"Close",17,1,1,1,3
"94","Andre Drummond",6585,400828945,"2016",1,1.4142135623731,1,"Close",18,1,1,1,3
"95","Andre Drummond",6585,400828945,"2016",1,0,1,"Close",19,1,1,1,3
"96","Andre Drummond",6585,400828945,"2016",1,1,1,"Close",20,1,1,1,3
"97","Andre Drummond",6585,401070948,"2019",1,2,0,"Close",1,NA,NA,NA,NA
"98","Andre Drummond",6585,401070948,"2019",0,4.24264068711928,0,"Close",2,1,NA,NA,NA
"99","Andre Drummond",6585,401070948,"2019",0,2,0,"Close",3,0,1,NA,NA
"100","Andre Drummond",6585,401070948,"2019",0,3.16227766016838,0,"Close",4,0,0,1,1
"101","Andre Drummond",6585,401070948,"2019",1,2.23606797749979,0,"Close",5,0,0,0,0
"102","Andre Drummond",6585,401070948,"2019",0,1,0,"Close",6,1,0,0,1
"103","Andre Drummond",6585,401070948,"2019",1,0,0,"Close",7,0,1,0,1
"104","Andre Drummond",6585,401070948,"2019",0,2,0,"Close",8,1,0,1,2
"105","Andre Drummond",6585,401070948,"2019",1,0,0,"Close",9,0,1,0,1
"106","Andre Drummond",6585,401070948,"2019",1,1,0,"Close",10,1,0,1,2
"107","Andre Drummond",6585,401070948,"2019",1,1,0,"Close",11,1,1,0,2
"108","Andre Drummond",6585,401070948,"2019",1,1,1,"Close",12,1,1,1,3
"109","Andre Drummond",6585,401070948,"2019",0,22.0227155455452,1,"ThreePoint",13,1,1,1,3
"110","Andre Drummond",6585,401070948,"2019",1,0,0,"Close",14,0,1,1,2
"111","Andre Drummond",6585,401070948,"2019",0,4.47213595499958,0,"Close",15,1,0,1,2
"112","Andre Drummond",6585,401070948,"2019",0,2.23606797749979,0,"Close",16,0,1,0,1
"113","Andre Drummond",6585,401070948,"2019",1,2.23606797749979,0,"Close",17,0,0,1,1
"114","Andre Drummond",6585,401070948,"2019",0,2.23606797749979,0,"Close",18,1,0,0,1
"115","Andre Drummond",6585,401071463,"2019",0,11,0,"Midrange",1,NA,NA,NA,NA
"116","Andre Drummond",6585,401071463,"2019",1,2,0,"Close",2,0,NA,NA,NA
"117","Andre Drummond",6585,401071463,"2019",1,1.4142135623731,0,"Close",3,1,0,NA,NA
"118","Andre Drummond",6585,401071463,"2019",1,5.8309518948453,0,"Close",4,1,1,0,2
"119","Andre Drummond",6585,401071463,"2019",1,7,1,"Close",5,1,1,1,3
"120","Andre Drummond",6585,401071463,"2019",1,1.4142135623731,1,"Close",6,1,1,1,3
"121","Andre Drummond",6585,401071463,"2019",1,1.4142135623731,1,"Close",7,1,1,1,3
"122","Andre Drummond",6585,401071463,"2019",1,0,1,"Close",8,1,1,1,3
"123","Andre Drummond",6585,401071463,"2019",1,7.28010988928052,1,"Close",9,1,1,1,3
