"","player","athlete_id_1","game_id","n_opportunities","n_opportunity_makes","season_end","total_shots","total_makes","opp_pct","other_attempts","other_makes","other_pct","diff"
"59","Al Horford",3213,400828765,0,0,2016,17,6,NA,17,6,0.352941176470588,NA
"60","Al Horford",3213,400828782,2,0,2016,16,8,0,14,8,0.571428571428571,-0.571428571428571
"61","Al Horford",3213,400828808,0,0,2016,5,2,NA,5,2,0.4,NA
"62","Al Horford",3213,400828816,0,0,2016,11,4,NA,11,4,0.363636363636364,NA
"63","Al Horford",3213,400828834,1,0,2016,7,5,0,6,5,0.833333333333333,-0.833333333333333
"64","Al Horford",3213,400828846,3,2,2016,14,8,0.666666666666667,11,6,0.545454545454545,0.121212121212121
"65","Al Horford",3213,400828861,4,3,2016,12,8,0.75,8,5,0.625,0.125
"66","Al Horford",3213,400828871,2,1,2016,12,8,0.5,10,7,0.7,-0.2
"67","Al Horford",3213,400828894,3,1,2016,15,9,0.333333333333333,12,8,0.666666666666667,-0.333333333333333
"68","Al Horford",3213,400828902,1,1,2016,10,5,1,9,4,0.444444444444444,0.555555555555556
"69","Al Horford",3213,400828916,1,0,2016,19,10,0,18,10,0.555555555555556,-0.555555555555556
"70","Al Horford",3213,400828935,1,0,2016,12,6,0,11,6,0.545454545454545,-0.545454545454545
"71","Al Horford",3213,400828943,1,0,2016,7,4,0,6,4,0.666666666666667,-0.666666666666667
"72","Al Horford",3213,400828963,2,1,2016,12,7,0.5,10,6,0.6,-0.1
"73","Al Horford",3213,400828972,0,0,2016,15,6,NA,15,6,0.4,NA
"74","Al Horford",3213,400828986,1,0,2016,11,6,0,10,6,0.6,-0.6
"75","Al Horford",3213,400829000,0,0,2016,9,3,NA,9,3,0.333333333333333,NA
"76","Al Horford",3213,400829018,0,0,2016,17,5,NA,17,5,0.294117647058824,NA
"77","Al Horford",3213,400829044,0,0,2016,18,7,NA,18,7,0.388888888888889,NA
"78","Al Horford",3213,400829060,0,0,2016,9,4,NA,9,4,0.444444444444444,NA
"79","Al Horford",3213,400829075,1,0,2016,13,5,0,12,5,0.416666666666667,-0.416666666666667
"80","Al Horford",3213,400829090,3,1,2016,17,10,0.333333333333333,14,9,0.642857142857143,-0.30952380952381
"81","Al Horford",3213,400829108,2,1,2016,10,6,0.5,8,5,0.625,-0.125
"82","Al Horford",3213,400829482,0,NA,2016,3,3,NA,3,NA,NA,NA
"83","Andre Drummond",6585,400827888,0,0,2016,14,5,NA,14,5,0.357142857142857,NA
"84","Andre Drummond",6585,400827894,1,0,2016,10,5,0,9,5,0.555555555555556,-0.555555555555556
"85","Andre Drummond",6585,400827912,1,0,2016,19,8,0,18,8,0.444444444444444,-0.444444444444444
"86","Andre Drummond",6585,400827941,5,3,2016,14,10,0.6,9,7,0.777777777777778,-0.177777777777778
"87","Andre Drummond",6585,400827969,0,0,2016,7,3,NA,7,3,0.428571428571429,NA
"88","Andre Drummond",6585,400827985,4,2,2016,19,14,0.5,15,12,0.8,-0.3
"89","Andre Drummond",6585,400827991,0,0,2016,16,7,NA,16,7,0.4375,NA
"90","Andre Drummond",6585,400828009,2,1,2016,11,5,0.5,9,4,0.444444444444444,0.0555555555555556
"91","Andre Drummond",6585,400828025,1,0,2016,12,5,0,11,5,0.454545454545455,-0.454545454545455
"92","Andre Drummond",6585,400828038,2,1,2016,15,6,0.5,13,5,0.384615384615385,0.115384615384615
"93","Andre Drummond",6585,400828047,2,1,2016,15,10,0.5,13,9,0.692307692307692,-0.192307692307692
"94","Andre Drummond",6585,400828068,2,2,2016,10,7,1,8,5,0.625,0.375
"95","Andre Drummond",6585,400828079,0,0,2016,6,3,NA,6,3,0.5,NA
"96","Andre Drummond",6585,400828092,1,0,2016,13,5,0,12,5,0.416666666666667,-0.416666666666667
"97","Andre Drummond",6585,400828105,1,0,2016,14,6,0,13,6,0.461538461538462,-0.461538461538462
"98","Andre Drummond",6585,400828121,0,0,2016,16,7,NA,16,7,0.4375,NA
"99","Andre Drummond",6585,400828135,0,0,2016,19,9,NA,19,9,0.473684210526316,NA
"100","Andre Drummond",6585,400828141,2,1,2016,13,8,0.5,11,7,0.636363636363636,-0.136363636363636
"101","Andre Drummond",6585,400828157,1,1,2016,16,8,1,15,7,0.466666666666667,0.533333333333333
"102","Andre Drummond",6585,400828172,1,0,2016,16,6,0,15,6,0.4,-0.4
"103","Andre Drummond",6585,400828188,2,2,2016,11,8,1,9,6,0.666666666666667,0.333333333333333
"104","Andre Drummond",6585,400828191,0,0,2016,6,3,NA,6,3,0.5,NA
"105","Andre Drummond",6585,400828209,2,1,2016,13,7,0.5,11,6,0.545454545454545,-0.0454545454545454
"106","Andre Drummond",6585,400828222,2,1,2016,16,7,0.5,14,6,0.428571428571429,0.0714285714285715
"107","Andre Drummond",6585,400828233,0,0,2016,10,4,NA,10,4,0.4,NA
"108","Andre Drummond",6585,400828246,0,0,2016,17,8,NA,17,8,0.470588235294118,NA
"109","Andre Drummond",6585,400828261,1,0,2016,8,4,0,7,4,0.571428571428571,-0.571428571428571
"110","Andre Drummond",6585,400828278,2,1,2016,25,14,0.5,23,13,0.565217391304348,-0.0652173913043478
"111","Andre Drummond",6585,400828307,0,0,2016,11,4,NA,11,4,0.363636363636364,NA
"112","Andre Drummond",6585,400828316,4,4,2016,13,9,1,9,5,0.555555555555556,0.444444444444444
"113","Andre Drummond",6585,400828333,2,1,2016,18,8,0.5,16,7,0.4375,0.0625
"114","Andre Drummond",6585,400828356,1,0,2016,15,5,0,14,5,0.357142857142857,-0.357142857142857
"115","Andre Drummond",6585,400828373,4,4,2016,12,9,1,8,5,0.625,0.375
"116","Andre Drummond",6585,400828385,0,0,2016,12,5,NA,12,5,0.416666666666667,NA
"117","Andre Drummond",6585,400828401,3,2,2016,14,8,0.666666666666667,11,6,0.545454545454545,0.121212121212121
"118","Andre Drummond",6585,400828415,1,0,2016,8,6,0,7,6,0.857142857142857,-0.857142857142857
"119","Andre Drummond",6585,400828440,5,3,2016,15,11,0.6,10,8,0.8,-0.2
"120","Andre Drummond",6585,400828457,0,0,2016,11,6,NA,11,6,0.545454545454545,NA
"121","Andre Drummond",6585,400828476,0,0,2016,9,3,NA,9,3,0.333333333333333,NA
"122","Andre Drummond",6585,400828492,0,0,2016,18,5,NA,18,5,0.277777777777778,NA
"123","Andre Drummond",6585,400828506,0,0,2016,7,4,NA,7,4,0.571428571428571,NA
"124","Andre Drummond",6585,400828522,0,0,2016,4,2,NA,4,2,0.5,NA
"125","Andre Drummond",6585,400828528,0,0,2016,17,8,NA,17,8,0.470588235294118,NA
"126","Andre Drummond",6585,400828548,0,0,2016,5,2,NA,5,2,0.4,NA
"127","Andre Drummond",6585,400828560,0,0,2016,9,3,NA,9,3,0.333333333333333,NA
"128","Andre Drummond",6585,400828573,4,3,2016,16,9,0.75,12,6,0.5,0.25
"129","Andre Drummond",6585,400828586,2,0,2016,14,9,0,12,9,0.75,-0.75
"130","Andre Drummond",6585,400828595,0,0,2016,8,4,NA,8,4,0.5,NA
"131","Andre Drummond",6585,400828609,2,2,2016,13,8,1,11,6,0.545454545454545,0.454545454545455
"132","Andre Drummond",6585,400828624,0,0,2016,11,6,NA,11,6,0.545454545454545,NA
"133","Andre Drummond",6585,400828633,0,0,2016,10,6,NA,10,6,0.6,NA
"134","Andre Drummond",6585,400828649,0,0,2016,6,2,NA,6,2,0.333333333333333,NA
"135","Andre Drummond",6585,400828666,0,0,2016,10,4,NA,10,4,0.4,NA
"136","Andre Drummond",6585,400828681,0,0,2016,20,6,NA,20,6,0.3,NA
"137","Andre Drummond",6585,400828693,1,0,2016,10,4,0,9,4,0.444444444444444,-0.444444444444444
"138","Andre Drummond",6585,400828710,4,2,2016,13,9,0.5,9,7,0.777777777777778,-0.277777777777778
"139","Andre Drummond",6585,400828720,0,0,2016,8,4,NA,8,4,0.5,NA
"140","Andre Drummond",6585,400828734,0,0,2016,7,4,NA,7,4,0.571428571428571,NA
"141","Andre Drummond",6585,400828760,0,0,2016,17,7,NA,17,7,0.411764705882353,NA
"142","Andre Drummond",6585,400828766,4,3,2016,10,6,0.75,6,3,0.5,0.25
"143","Andre Drummond",6585,400828792,0,0,2016,6,4,NA,6,4,0.666666666666667,NA
"144","Andre Drummond",6585,400828810,1,0,2016,20,10,0,19,10,0.526315789473684,-0.526315789473684
