"","season_end","mean_opps","mean_opps_makes","mean_opps_percentage","baseline_fg_percentage","diff"
"1",2016,1.12355718782791,0.507127771911299,0.448517394349755,0.456864216054014,-0.00834682170425866
"2",2017,1.33786304289901,0.609983982915109,0.455088627763394,0.464469988896872,-0.00938136113347776
"3",2018,1.28987811340753,0.594515441959531,0.458709942481512,0.467375121926177,-0.00866517944466499
"4",2019,1.36490397263878,0.637298865734635,0.465690053970702,0.463030477469698,0.00265957650100318
"5",2020,1.30961298377029,0.588989677822959,0.448760724499523,0.461942900216715,-0.013182175717192
"6",2021,1.46500479386385,0.679462571976967,0.463350785340314,0.473814706160689,-0.0104639208203748
"7",2022,1.35578289286729,0.625035642999715,0.459442464892056,0.461401213274652,-0.00195874838259591
"8",2023,1.52769010043042,0.71889400921659,0.468820435762585,0.473824151142819,-0.00500371538023486
"9",2024,1.58106637649619,0.767239029708367,0.484342739160358,0.481378115677028,0.00296462348332965
"10",2025,1.42381679389313,0.659809640773718,0.460862105940382,0.472075656175722,-0.0112135502353402
