"player","athlete_id_1","game_id","n_opportunities","n_opportunity_makes"
"Andrew Wiggins",3059319,401160628,2,1
"Andrew Wiggins",3059319,401160660,1,0
"Andrew Wiggins",3059319,401160681,4,3
"Andrew Wiggins",3059319,401160699,0,0
"Andrew Wiggins",3059319,401160722,0,0
"Andrew Wiggins",3059319,401160736,1,0
"Andrew Wiggins",3059319,401160750,2,1
"Andrew Wiggins",3059319,401160762,1,0
"Andrew Wiggins",3059319,401160774,2,1
"Andrew Wiggins",3059319,401160782,3,2
"Andrew Wiggins",3059319,401160800,4,2
"Andrew Wiggins",3059319,401160852,1,0
"Andrew Wiggins",3059319,401160867,0,0
"Andrew Wiggins",3059319,401160885,3,2
"Andrew Wiggins",3059319,401160904,1,0
"Andrew Wiggins",3059319,401160928,0,0
"Andrew Wiggins",3059319,401160955,0,0
"Andrew Wiggins",3059319,401160984,2,0
"Andrew Wiggins",3059319,401160991,1,0
"Andrew Wiggins",3059319,401161004,1,0
"Andrew Wiggins",3059319,401161019,1,0
"Andrew Wiggins",3059319,401161053,0,0
"Andrew Wiggins",3059319,401161069,1,0
"Andrew Wiggins",3059319,401161080,1,0
"Andrew Wiggins",3059319,401161096,0,0
"Andrew Wiggins",3059319,401161106,0,0
"Andrew Wiggins",3059319,401161178,0,0
"Andrew Wiggins",3059319,401161193,0,0
"Andrew Wiggins",3059319,401161207,1,0
"Andrew Wiggins",3059319,401161219,0,0
"Andrew Wiggins",3059319,401161236,1,0
"Andrew Wiggins",3059319,401161250,1,0
"Andrew Wiggins",3059319,401161261,4,2
"Andrew Wiggins",3059319,401161274,2,1
"Andrew Wiggins",3059319,401161291,0,0
"Andrew Wiggins",3059319,401161303,1,0
"Andrew Wiggins",3059319,401161317,3,2
"Andrew Wiggins",3059319,401161325,0,0
"Andrew Wiggins",3059319,401161338,4,2
"Andrew Wiggins",3059319,401161369,1,0
"Andrew Wiggins",3059319,401161391,0,0
"Andrew Wiggins",3059319,401161401,2,1
"Andrew Wiggins",3059319,401161425,3,2
"Andrew Wiggins",3059319,401161442,3,2
"Andrew Wiggins",3059319,401161457,1,1
"Andrew Wiggins",3059319,401161467,1,0
"Andrew Wiggins",3059319,401161489,0,0
"Andrew Wiggins",3059319,401161543,1,0
