"player","athlete_id_1"
"Anthony Davis",6583
"Anthony Edwards",4594268
"Bam Adebayo",4066261
"Bogdan Bogdanovic",3037789
"Brandon Ingram",3913176
"Brandon Miller",4433287
"CJ McCollum",2490149
"Cade Cunningham",4432166
"Cam Thomas",4432174
"Coby White",4395651
"Collin Sexton",4277811
"D'Angelo Russell",3136776
"Damian Lillard",6606
"De'Aaron Fox",4066259
"DeMar DeRozan",3978
"Dejounte Murray",3907497
"Devin Booker",3136193
"Devin Vassell",4395630
"Domantas Sabonis",3155942
"Donovan Mitchell",3908809
"Franz Wagner",4566434
"Fred VanVleet",2991230
"Giannis Antetokounmpo",3032977
"Jalen Brunson",3934672
"Jalen Green",4437244
"Jaren Jackson Jr.",4277961
"Jaylen Brown",3917376
"Jayson Tatum",4065648
"Jordan Poole",4277956
"Kawhi Leonard",6450
"Kevin Durant",3202
"Klay Thompson",6475
"Kyle Kuzma",3134907
"Kyrie Irving",6442
"LeBron James",1966
"Luka Doncic",3945274
"Michael Porter Jr.",4278104
"Mikal Bridges",3147657
"Miles Bridges",4066383
"Nikola Jokic",3112335
"Nikola Vucevic",6478
"Paolo Banchero",4432573
"Pascal Siakam",3149673
"Paul George",4251
"Shai Gilgeous-Alexander",4278073
"Stephen Curry",3975
"Tyrese Haliburton",4396993
"Tyrese Maxey",4431678
"Victor Wembanyama",5104157
"Zion Williamson",4395628
